checkpoint,run_dir,n_steps,temperature,guidance_scale,recon_WER,recon_CER,recon_UTMOS,ref_WER,ref_CER,ref_UTMOS
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu0_n16_t0.2_g1.5,16.0,0.2,1.5,3.59,1.53,2.64,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu0_n16_t0.8_g1.0,16.0,0.8,1.0,4.3,1.74,2.66,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu0_n4_t0.2_g1.0,4.0,0.2,1.0,4.24,1.68,2.59,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu0_n4_t0.5_g1.3,4.0,0.5,1.3,3.87,1.54,2.63,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu0_n4_t0.8_g1.5,4.0,0.8,1.5,4.23,1.4,2.6,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu0_n8_t0.5_g1.0,8.0,0.5,1.0,3.76,1.51,2.63,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu0_n8_t0.8_g1.3,8.0,0.8,1.3,4.28,1.65,2.69,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu1_n16_t0.5_g1.0,16.0,0.5,1.0,3.95,1.58,2.7,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu1_n16_t0.8_g1.3,16.0,0.8,1.3,4.46,1.76,2.69,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu1_n4_t0.2_g1.3,4.0,0.2,1.3,4.19,1.69,2.56,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu1_n4_t0.5_g1.5,4.0,0.5,1.5,4.1,1.5,2.52,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu1_n8_t0.2_g1.0,8.0,0.2,1.0,4.0,1.61,2.62,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu1_n8_t0.5_g1.3,8.0,0.5,1.3,3.66,1.55,2.65,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu1_n8_t0.8_g1.5,8.0,0.8,1.5,4.27,1.58,2.71,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu2_n16_t0.2_g1.0,16.0,0.2,1.0,3.85,1.59,2.68,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu2_n16_t0.5_g1.3,16.0,0.5,1.3,3.61,1.51,2.66,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu2_n16_t0.8_g1.5,16.0,0.8,1.5,3.83,1.5,2.73,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu2_n4_t0.2_g1.5,4.0,0.2,1.5,4.18,1.77,2.48,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu2_n4_t0.8_g1.0,4.0,0.8,1.0,4.31,1.69,2.6,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu2_n8_t0.2_g1.3,8.0,0.2,1.3,3.89,1.56,2.64,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu2_n8_t0.5_g1.5,8.0,0.5,1.5,3.62,1.49,2.71,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu3_n16_t0.2_g1.3,16.0,0.2,1.3,3.73,1.54,2.63,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu3_n16_t0.5_g1.5,16.0,0.5,1.5,3.84,1.53,2.63,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu3_n4_t0.5_g1.0,4.0,0.5,1.0,3.8,1.49,2.63,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu3_n4_t0.8_g1.3,4.0,0.8,1.3,4.28,1.49,2.64,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu3_n8_t0.2_g1.5,8.0,0.2,1.5,3.78,1.55,2.66,2.17,0.62,3.25
1d-8x-AR-VAE,evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-AR-VAE/gpu3_n8_t0.8_g1.0,8.0,0.8,1.0,4.26,1.66,2.69,2.17,0.62,3.25
