checkpoint,run_dir,n_steps,temperature,guidance_scale,recon_WER,recon_CER,recon_UTMOS,ref_WER,ref_CER,ref_UTMOS
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu0_n16_t0.5_g1.0,16.0,0.5,1.0,2.72,0.8,2.86,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu0_n16_t0.8_g1.3,16.0,0.8,1.3,2.54,0.79,2.91,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu0_n4_t0.2_g1.3,4.0,0.2,1.3,2.55,0.82,2.83,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu0_n4_t0.5_g1.5,4.0,0.5,1.5,2.58,0.8,2.86,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu0_n8_t0.2_g1.0,8.0,0.2,1.0,2.42,0.77,2.84,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu0_n8_t0.5_g1.3,8.0,0.5,1.3,2.75,0.84,2.91,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu0_n8_t0.8_g1.5,8.0,0.8,1.5,2.48,0.79,2.94,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu1_n16_t0.2_g1.0,16.0,0.2,1.0,2.71,0.83,2.87,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu1_n16_t0.5_g1.3,16.0,0.5,1.3,2.64,0.84,2.93,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu1_n16_t0.8_g1.5,16.0,0.8,1.5,2.67,0.82,2.93,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu1_n4_t0.2_g1.5,4.0,0.2,1.5,2.58,0.83,2.84,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu1_n4_t0.8_g1.0,4.0,0.8,1.0,2.83,0.88,2.86,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu1_n8_t0.2_g1.3,8.0,0.2,1.3,2.47,0.77,2.92,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu1_n8_t0.5_g1.5,8.0,0.5,1.5,2.58,0.8,2.93,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu2_n16_t0.2_g1.3,16.0,0.2,1.3,2.58,0.82,2.92,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu2_n16_t0.5_g1.5,16.0,0.5,1.5,2.67,0.8,2.94,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu2_n4_t0.5_g1.0,4.0,0.5,1.0,3.34,1.03,2.83,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu2_n4_t0.8_g1.3,4.0,0.8,1.3,2.51,0.76,2.84,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu2_n8_t0.2_g1.5,8.0,0.2,1.5,2.34,0.72,2.95,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu2_n8_t0.8_g1.0,8.0,0.8,1.0,3.02,0.92,2.92,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu3_n16_t0.2_g1.5,16.0,0.2,1.5,2.43,0.77,2.95,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu3_n16_t0.8_g1.0,16.0,0.8,1.0,2.88,0.93,2.88,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu3_n4_t0.2_g1.0,4.0,0.2,1.0,2.81,0.84,2.83,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu3_n4_t0.5_g1.3,4.0,0.5,1.3,2.51,0.79,2.88,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu3_n4_t0.8_g1.5,4.0,0.8,1.5,2.83,0.88,2.87,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu3_n8_t0.5_g1.0,8.0,0.5,1.0,2.98,0.92,2.87,2.17,0.62,3.25
1d-8x-NAR-AE,/home/ec2-user/MelCausalVAE/evaluation/LibriSpeech-2ckpt-sweep-utmos-100/1d-8x-NAR-AE/gpu3_n8_t0.8_g1.3,8.0,0.8,1.3,2.84,0.85,2.95,2.17,0.62,3.25
